,Unnamed: 0,road,subroad,type,id,coords,B4_max,B4_mean,B4_min,B8_max,B8_mean,B8_min,B4_diff_factor,B8_diff_factor
64,64,49,1,road,64,,-411.0,-250.33783783783792,-103.5,107.5,304.7091377091374,482.0,-67.83143208218007,-223.72463901774967
65,65,49,1,road,65,,-127.0,-83.93968871595348,-228.0,-228.0,-58.7360570687415,-111.0,-67.83143208218007,-223.72463901774967
66,66,49,1,road,66,,-171.0,-62.78858625162161,-108.5,-206.5,-92.83073929961074,-140.5,-67.83143208218007,-223.72463901774967
67,67,49,1,road,67,,-304.5,-122.8635778635778,-4.5,-189.5,-14.317245817246205,145.5,-67.83143208218007,-223.72463901774967
68,68,49,1,road,68,,-154.5,-101.64211886304884,-164.5,-44.5,25.57622739018143,-72.0,-67.83143208218007,-223.72463901774967
69,69,49,1,road,69,,-164.5,-122.34169884169864,-187.5,-264.0,-130.1377091377094,-102.5,-67.83143208218007,-223.72463901774967
70,70,49,1,road,70,,-459.5,-130.43234536082446,113.5,-321.0,-275.11211340206137,-238.0,-67.83143208218007,-223.72463901774967
71,71,49,1,road,71,,-328.0,-206.79974160206712,160.0,-268.5,-342.68798449612405,-245.0,-67.83143208218007,-223.72463901774967
72,72,49,1,road,72,,-477.0,-380.9523809523812,-214.5,-321.5,-290.8622908622906,-217.5,-67.83143208218007,-223.72463901774967
73,73,49,1,road,73,,-274.0,-126.4577922077924,213.5,-215.5,-308.80259740259726,-361.0,-67.83143208218007,-223.72463901774967
74,74,49,1,road,74,,-207.0,-100.06756756756772,20.5,-298.5,-201.29987129987103,-198.5,-67.83143208218007,-223.72463901774967
75,75,49,1,road,75,,-266.5,-124.1896774193549,-74.0,-70.0,-23.079354838709605,-77.5,-67.83143208218007,-223.72463901774967
76,76,49,1,road,76,,-500.5,-467.9922879177376,-500.5,-173.0,-183.58933161953647,-173.0,-67.83143208218007,-223.72463901774967
77,77,49,1,road,77,,-222.0,-185.97168597168616,-127.0,-154.0,-134.11389961390023,-104.5,-67.83143208218007,-223.72463901774967
78,78,49,1,road,78,,-349.5,-164.00965250965237,-14.5,-261.5,-2.0263835263831425,130.5,-67.83143208218007,-223.72463901774967
79,79,49,1,road,79,,-477.0,-369.7262678803638,-139.5,-220.0,-80.66579973992202,18.0,-67.83143208218007,-223.72463901774967
80,80,49,1,road,80,,-640.0,-456.1677377892029,-173.0,-180.5,-138.0089974293062,-79.0,-67.83143208218007,-223.72463901774967
